Model,Train_Accuracy,Train_F1_Weighted,Test_Accuracy,Test_F1_Weighted
Model A: Gaussian (Raw),0.3955944687652005,0.3724493215205984,0.39674875261548365,0.37409607197807815
Model B: Statis (Manual Bins),0.4068167604752971,0.40598750381011756,0.3849991952357959,0.38377779873969664
Model C: CPDA (Kuantil Dinamis),0.40556597873671046,0.40344378139429404,0.3880572992113311,0.38592406182196143
